Category,Sub Category,ProductDescription,Barcode,TescoProductID,BaseID,Price (£),Unit Price (£),Unit Of Measure,SpecialOffer,OfferStartDate,OfferEndDate,CurrentlyAvailable,DateScraped,WebLink,Aldi Price Match,Deposit
Finest Fresh Food,Finest Fruit & Vegetables,Tesco Finest Green Grapes Seedless 400G,00000003422984	,310190668,89443123,2.99,7.48,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/310190668,No,
Fresh Fruit,"Dried Fruit, Nuts & Seeds",Forest Feast Honey Roast Peanuts And Cashews 55G,05022374058642	,315341765,92262966,1.5,27.27,kg,Any 2 for €2.20 Clubcard Price - Selected Forest Feast Products,19/08/2026,29/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/315341765,No,
Fresh Fruit,"Dried Fruit, Nuts & Seeds",Forest Feast Yoghurt Raisins 65G,05022374058543	,315353146,92480575,1.5,23.08,kg,Any 2 for €2.20 Clubcard Price - Selected Forest Feast Products,19/08/2026,29/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/315353146,No,
Fresh Fruit,"Dried Fruit, Nuts & Seeds",Jomara Segai Organic Dates 150g,06291107388885	,323417941,97016813,2.99,19.93,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/323417941,No,
"Dried Fruit, Nuts, Nutrient Powders & Seeds",Organic,Sowan's Organic Mixed Nuts 100G,05099809148728	,310177679,89956478,3.0,30.0,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/310177679,No,
Fresh Fruit,"Mango, Kiwi & Exotic Fruit",Genuine Coconut Eat And Drink,08437015393070	,304073298,86858271,2.59,2.59,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/304073298,No,
"Dried Fruit, Nuts, Nutrient Powders & Seeds",Plain Nuts & Seeds,Sowan's Mixed Seeds 100G,05099809130983	,287249543,78473242,1.5,15.0,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/287249543,No,
Fresh Fruit,Apples & Pears,Tesco Finest Juliet Apples 4 Pk,05063942002001	,330752153,98618480,3.49,0.87,each,NA,NA,NA,False,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/330752153,No,
Fresh Fruit,"Dried Fruit, Nuts & Seeds",Merchant Gourmet Whole Chestnuts 180G,05056215600233	,289645831,79676070,2.89,16.06,kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Merchant Products,03/09/2026,29/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/289645831,No,
Fresh Fruit,Melons & Pineapples,Simplyfruit Melon 450G ,05060054680356	,330746334,98582203,4.29,9.53,kg,NA,NA,NA,False,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/330746334,No,
Fresh Fruit,"Dried Fruit, Nuts & Seeds",Forest Feast Roasted And Salted Pistachios 35G,05022374058604	,315369992,92487366,1.5,42.86,kg,Any 2 for €2.20 Clubcard Price - Selected Forest Feast Products,19/08/2026,29/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/315369992,No,
"Dried Fruit, Nuts, Nutrient Powders & Seeds",Organic,Sowan's Organic Cashew Nuts 100G,05099809148735	,310144701,89914920,3.0,30.0,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/310144701,No,
